source,reference,title,source_folder,object_key,mp3_url,transcript_url,bytes
PRA,AZ1797A,Karen Armstrong on Religion and Violence,PZ1002 Voices that Change the World/AZ1797 Letters and Politics History of Religion,Flash Drive (64gb)/PZ1002 Voices that Change the World/AZ1797 Letters and Politics History of Religion/AZ1797a Karen Armstrong on Religion and Violence.mp3,https://cca8f82c735fceb4591b92937d3fcb31.r2.cloudflarestorage.com/pra/Flash%20Drive%20%2864gb%29/PZ1002%20Voices%20that%20Change%20the%20World/AZ1797%20Letters%20and%20Politics%20History%20of%20Religion/AZ1797a%20Karen%20Armstrong%20on%20Religion%20and%20Violence.mp3,https://cca8f82c735fceb4591b92937d3fcb31.r2.cloudflarestorage.com/pra/Flash%20Drive%20%2864gb%29/PZ1002%20Voices%20that%20Change%20the%20World/AZ1797%20Letters%20and%20Politics%20History%20of%20Religion/AZ1797a%20Karen%20Armstrong%20on%20Religion%20and%20Violence.txt,49881339
PRA,AZ1797B,Reza Aslan The Politics of Jesus,PZ1002 Voices that Change the World/AZ1797 Letters and Politics History of Religion,Flash Drive (64gb)/PZ1002 Voices that Change the World/AZ1797 Letters and Politics History of Religion/AZ1797b Reza Aslan The Politics of Jesus.mp3,https://cca8f82c735fceb4591b92937d3fcb31.r2.cloudflarestorage.com/pra/Flash%20Drive%20%2864gb%29/PZ1002%20Voices%20that%20Change%20the%20World/AZ1797%20Letters%20and%20Politics%20History%20of%20Religion/AZ1797b%20Reza%20Aslan%20The%20Politics%20of%20Jesus.mp3,https://cca8f82c735fceb4591b92937d3fcb31.r2.cloudflarestorage.com/pra/Flash%20Drive%20%2864gb%29/PZ1002%20Voices%20that%20Change%20the%20World/AZ1797%20Letters%20and%20Politics%20History%20of%20Religion/AZ1797b%20Reza%20Aslan%20The%20Politics%20of%20Jesus.txt,38939167
PRA,AZ1797C,David Kertzer on the Pope and Fascism,PZ1002 Voices that Change the World/AZ1797 Letters and Politics History of Religion,Flash Drive (64gb)/PZ1002 Voices that Change the World/AZ1797 Letters and Politics History of Religion/AZ1797c David Kertzer on the Pope and Fascism.mp3,https://cca8f82c735fceb4591b92937d3fcb31.r2.cloudflarestorage.com/pra/Flash%20Drive%20%2864gb%29/PZ1002%20Voices%20that%20Change%20the%20World/AZ1797%20Letters%20and%20Politics%20History%20of%20Religion/AZ1797c%20David%20Kertzer%20on%20the%20Pope%20and%20Fascism.mp3,https://cca8f82c735fceb4591b92937d3fcb31.r2.cloudflarestorage.com/pra/Flash%20Drive%20%2864gb%29/PZ1002%20Voices%20that%20Change%20the%20World/AZ1797%20Letters%20and%20Politics%20History%20of%20Religion/AZ1797c%20David%20Kertzer%20on%20the%20Pope%20and%20Fascism.txt,48194873
PRA,AZ1797D,Kevin Kruse The Rise of Christian Libertarianism,PZ1002 Voices that Change the World/AZ1797 Letters and Politics History of Religion,Flash Drive (64gb)/PZ1002 Voices that Change the World/AZ1797 Letters and Politics History of Religion/AZ1797d Kevin Kruse The Rise of Christian Libertarianism.mp3,https://cca8f82c735fceb4591b92937d3fcb31.r2.cloudflarestorage.com/pra/Flash%20Drive%20%2864gb%29/PZ1002%20Voices%20that%20Change%20the%20World/AZ1797%20Letters%20and%20Politics%20History%20of%20Religion/AZ1797d%20Kevin%20Kruse%20The%20Rise%20of%20Christian%20Libertarianism.mp3,https://cca8f82c735fceb4591b92937d3fcb31.r2.cloudflarestorage.com/pra/Flash%20Drive%20%2864gb%29/PZ1002%20Voices%20that%20Change%20the%20World/AZ1797%20Letters%20and%20Politics%20History%20of%20Religion/AZ1797d%20Kevin%20Kruse%20The%20Rise%20of%20Christian%20Libertarianism.txt,47547037
PRA,AZ1797E,Edmund Ghareeb Destruction of Ancient Sites,PZ1002 Voices that Change the World/AZ1797 Letters and Politics History of Religion,Flash Drive (64gb)/PZ1002 Voices that Change the World/AZ1797 Letters and Politics History of Religion/AZ1797e Edmund Ghareeb Destruction of Ancient Sites.mp3,https://cca8f82c735fceb4591b92937d3fcb31.r2.cloudflarestorage.com/pra/Flash%20Drive%20%2864gb%29/PZ1002%20Voices%20that%20Change%20the%20World/AZ1797%20Letters%20and%20Politics%20History%20of%20Religion/AZ1797e%20Edmund%20Ghareeb%20Destruction%20of%20Ancient%20Sites.mp3,https://cca8f82c735fceb4591b92937d3fcb31.r2.cloudflarestorage.com/pra/Flash%20Drive%20%2864gb%29/PZ1002%20Voices%20that%20Change%20the%20World/AZ1797%20Letters%20and%20Politics%20History%20of%20Religion/AZ1797e%20Edmund%20Ghareeb%20Destruction%20of%20Ancient%20Sites.txt,40468062
PRA,AZ1797F,Gerard Russell on Ancient Iraqi Traditions,PZ1002 Voices that Change the World/AZ1797 Letters and Politics History of Religion,Flash Drive (64gb)/PZ1002 Voices that Change the World/AZ1797 Letters and Politics History of Religion/AZ1797f Gerard Russell on Ancient Iraqi Traditions.mp3,https://cca8f82c735fceb4591b92937d3fcb31.r2.cloudflarestorage.com/pra/Flash%20Drive%20%2864gb%29/PZ1002%20Voices%20that%20Change%20the%20World/AZ1797%20Letters%20and%20Politics%20History%20of%20Religion/AZ1797f%20Gerard%20Russell%20on%20Ancient%20Iraqi%20Traditions.mp3,https://cca8f82c735fceb4591b92937d3fcb31.r2.cloudflarestorage.com/pra/Flash%20Drive%20%2864gb%29/PZ1002%20Voices%20that%20Change%20the%20World/AZ1797%20Letters%20and%20Politics%20History%20of%20Religion/AZ1797f%20Gerard%20Russell%20on%20Ancient%20Iraqi%20Traditions.txt,47094805
PRA,AZ1797G,Jonathon Lyons The Caliphates,PZ1002 Voices that Change the World/AZ1797 Letters and Politics History of Religion,Flash Drive (64gb)/PZ1002 Voices that Change the World/AZ1797 Letters and Politics History of Religion/AZ1797g Jonathon Lyons The Caliphates.mp3,https://cca8f82c735fceb4591b92937d3fcb31.r2.cloudflarestorage.com/pra/Flash%20Drive%20%2864gb%29/PZ1002%20Voices%20that%20Change%20the%20World/AZ1797%20Letters%20and%20Politics%20History%20of%20Religion/AZ1797g%20Jonathon%20Lyons%20The%20Caliphates.mp3,https://cca8f82c735fceb4591b92937d3fcb31.r2.cloudflarestorage.com/pra/Flash%20Drive%20%2864gb%29/PZ1002%20Voices%20that%20Change%20the%20World/AZ1797%20Letters%20and%20Politics%20History%20of%20Religion/AZ1797g%20Jonathon%20Lyons%20The%20Caliphates.txt,48967680
PRA,AZ1797H,History of Shia Sunni Divide,PZ1002 Voices that Change the World/AZ1797 Letters and Politics History of Religion,Flash Drive (64gb)/PZ1002 Voices that Change the World/AZ1797 Letters and Politics History of Religion/AZ1797h History of Shia Sunni Divide.mp3,https://cca8f82c735fceb4591b92937d3fcb31.r2.cloudflarestorage.com/pra/Flash%20Drive%20%2864gb%29/PZ1002%20Voices%20that%20Change%20the%20World/AZ1797%20Letters%20and%20Politics%20History%20of%20Religion/AZ1797h%20History%20of%20Shia%20Sunni%20Divide.mp3,https://cca8f82c735fceb4591b92937d3fcb31.r2.cloudflarestorage.com/pra/Flash%20Drive%20%2864gb%29/PZ1002%20Voices%20that%20Change%20the%20World/AZ1797%20Letters%20and%20Politics%20History%20of%20Religion/AZ1797h%20History%20of%20Shia%20Sunni%20Divide.txt,44036598
PRA,AZ1797I,Jeffersons Quaran,PZ1002 Voices that Change the World/AZ1797 Letters and Politics History of Religion,Flash Drive (64gb)/PZ1002 Voices that Change the World/AZ1797 Letters and Politics History of Religion/AZ1797i Jeffersons Quaran.mp3,https://cca8f82c735fceb4591b92937d3fcb31.r2.cloudflarestorage.com/pra/Flash%20Drive%20%2864gb%29/PZ1002%20Voices%20that%20Change%20the%20World/AZ1797%20Letters%20and%20Politics%20History%20of%20Religion/AZ1797i%20Jeffersons%20Quaran.mp3,https://cca8f82c735fceb4591b92937d3fcb31.r2.cloudflarestorage.com/pra/Flash%20Drive%20%2864gb%29/PZ1002%20Voices%20that%20Change%20the%20World/AZ1797%20Letters%20and%20Politics%20History%20of%20Religion/AZ1797i%20Jeffersons%20Quaran.txt,25366361
PRA,AZ1797J,Blase Bonpane Liberation Theology,PZ1002 Voices that Change the World/AZ1797 Letters and Politics History of Religion,Flash Drive (64gb)/PZ1002 Voices that Change the World/AZ1797 Letters and Politics History of Religion/AZ1797j Blase Bonpane Liberation Theology.mp3,https://cca8f82c735fceb4591b92937d3fcb31.r2.cloudflarestorage.com/pra/Flash%20Drive%20%2864gb%29/PZ1002%20Voices%20that%20Change%20the%20World/AZ1797%20Letters%20and%20Politics%20History%20of%20Religion/AZ1797j%20Blase%20Bonpane%20Liberation%20Theology.mp3,https://cca8f82c735fceb4591b92937d3fcb31.r2.cloudflarestorage.com/pra/Flash%20Drive%20%2864gb%29/PZ1002%20Voices%20that%20Change%20the%20World/AZ1797%20Letters%20and%20Politics%20History%20of%20Religion/AZ1797j%20Blase%20Bonpane%20Liberation%20Theology.txt,28166269
